,Bnumber,Gen,Length
385,b0368,tauD,853
387,b4580,yaiT,4169
388,b0372,insF-2,868
389,b0373,insE-2,301
390,b0375,iprA,625
391,b0376,ampH,1159
392,b0377,sbmA,1222
393,b0378,yaiW,1096
394,b0379,yaiY,310
395,b0380,yaiZ,214
504,b0488,ybbJ,460
505,b0489,qmcA,919
506,b0490,fetA,679
507,b0491,fetB,781
508,b0492,cnoX,856
509,b0493,ybbO,811
510,b0494,tesA,628
511,b0495,ybbA,688
512,b0496,ybbP,2416
513,b0497,rhsD,4282
514,b0498,ybbC,370
515,b0499,ylbH,712
516,b0501,ybbD,492
517,b4632,ylbI,97
518,b0502,ylbG,373
552,b0537,intD,1165
553,b4633,xisD,223
554,b0539,exoD,265
555,b4508,peaD,313
556,b0542,renD,1565
557,b0540,insE-3,301
558,b0541,insF-3,868
559,b0543,emrE,334
561,b0544,ybcK,1528
562,b0545,ybcL,553
563,b0546,ybcM,799
564,b4588,ylcH,103
565,b0547,ybcN,457
566,b0548,ninE,172
567,b0549,ybcO,292
568,b0550,rusA,364
569,b4509,ylcG,142
570,b0551,ybcQ,385
571,b0553,nmpC,2298
572,b0552,insH-2,1018
573,b0554,essD,217
574,b0555,rrrD,499
575,b0556,rzpD,463
576,b4510,rzoD,184
577,b0557,borD,295
578,b0558,ybcV,412
579,b0559,ybcW,208
580,b4589,ylcI,196
581,b0560,nohD,547
582,b4634,aaaD,310
583,b0561,tfaD,565
584,b0562,ybcY,656
585,b0563,tfaX,187
586,b0564,appY,751
587,b0565,ompT,955
588,b0566,envY,763
589,b0567,ybcH,892
590,b0568,nfrA,2974
591,b0569,nfrB,2239
592,b0570,cusS,1444
593,b0571,cusR,685
594,b0572,cusC,1375
595,b0573,cusF,334
596,b0574,cusB,1225
597,b0575,cusA,3145
599,b0577,ybdG,1249
600,b0578,nfsB,655
601,b0579,ybdF,370
602,b0580,ybdJ,250
603,b0581,ybdK,1120
604,b4700,sokE,60
605,b4415,hokE,154
606,b0582,insL-2,1114
637,b0611,rna,808
669,b0644,ybeQ,979
670,b0645,ybeR,709
671,b0646,djlB,1429
672,b0647,ybeT,556
673,b0648,ybeU,709
674,b0649,djlC,1453
675,b0650,hscC,1672
681,b0656,insH-3,1018
724,b0700,rhsC,4195
725,b0702,ybfB,328
726,b0703,ybfO,1435
727,b0704,ybfC,571
728,b4514,ybfQ,256
729,b0705,ybfL,1063
730,b0706,ybfD,763
754,b0730,mngR,724
755,b0731,mngA,1978
756,b0732,mngB,2635
866,b0839,dacC,1204
1010,b0981,etk,2182
1011,b0982,etp,448
1012,b0983,gfcE,1141
1013,b0984,gfcD,2098
1014,b0985,gfcC,748
1015,b0986,gfcB,646
1016,b0987,gfcA,307
1017,b4516,insA-4,277
1018,b0988,insB-4,505
1053,b1021,pgaD,415
1054,b1022,pgaC,1327
1055,b1023,pgaB,2020
1056,b1024,pgaA,2425
1057,b1025,dgcT,1360
1058,b1026,insF-4,868
1059,b1027,insE-4,301
1060,b1028,ymdE,304
1061,b1029,ycdU,988
1067,b1037,csgG,835
1068,b1038,csgF,418
1069,b1039,csgE,391
1070,b1040,csgD,652
1071,b1041,csgB,457
1072,b1042,csgA,457
1073,b1043,csgC,334
1099,b1070,flgN,418
1100,b1071,flgM,295
1101,b1072,flgA,661
1102,b1073,flgB,418
1103,b1074,flgC,406
1104,b1075,flgD,697
1105,b1076,flgE,1210
1106,b1077,flgF,757
1107,b1078,flgG,784
1108,b1079,flgH,700
1109,b1080,flgI,1099
1110,b1081,flgJ,943
1111,b1082,flgK,1645
1112,b1083,flgL,955
1167,b1137,ymfD,667
1168,b1138,ymfE,706
1169,b1139,lit,895
1170,b1140,intE,1129
1171,b1141,xisE,247
1173,b1143,ymfI,343
1174,b1144,ymfJ,310
1175,b1145,ymfK,676
1176,b1146,ymfT,202
1177,b1147,ymfL,559
1178,b1148,ymfM,340
1180,b4692,oweE,235
1181,b4693,aaaE,1138
1182,b1150,ymfR,184
1183,b1151,beeE,475
1184,b1152,jayE,793
1185,b1153,ymfQ,586
1186,b1154,ycfK,631
1187,b1155,tfaP,415
1188,b1156,tfaE,604
1189,b1157,stfE,538
1190,b1158,pinE,556
1191,b1159,mcrA,835
1192,b4519,icdC,166
1193,b1160,iraM,325
1196,b1161,ycgX,406
1197,b1162,bluR,733
1198,b1163,bluF,1213
1199,b1164,ycgZ,238
1200,b1165,ymgA,274
1201,b1166,ariR,268
1202,b1167,ymgC,250
1203,b1168,pdeG,1525
1204,b4520,ymgF,220
1205,b4491,ycgH,2649
1206,b1171,ymgD,331
1207,b1172,ymgG,346
1208,b4593,ymgI,175
1240,b1202,ycgV,2869
1378,b1325,ycjG,967
1379,b1326,mpaA,730
1380,b4525,ymjC,184
1381,b4673,ymjD,67
1382,b1327,ycjY,922
1383,b1328,pgrR,901
1384,b1329,mppA,1615
1385,b1330,ynaI,1033
1386,b1331,insH-4,1018
1387,b1332,ynaJ,259
1388,b1333,uspE,952
1391,b1336,abgT,1528
1392,b1337,abgB,1447
1393,b1338,abgA,1312
1394,b1339,abgR,910
1395,b4426,mcaS,94
1396,b1340,smrA,565
1397,b1341,dgcM,1234
1398,b1342,zntB,985
1399,b4699,fnrS,120
1401,b1343,dbpA,1375
1402,b1344,ttcA,937
1403,b1345,intR,1237
1404,b1346,xisR,217
1405,b1347,rcbA,211
1407,b1348,ralR,196
1408,b1349,recT,811
1409,b1350,recE,2602
1410,b1351,racC,277
1411,b4526,ydaE,172
1412,b1352,kilR,223
1413,b1353,sieB,490
1414,b4527,ydaF,157
1415,b1355,ydaG,136
1416,b1356,racR,478
1417,b1357,ydaS,298
1418,b1358,ydaT,424
1419,b1359,ydaU,859
1420,b1360,ydaV,748
1421,b1361,ydaW,562
1422,b1362,rzpR,301
1423,b4528,rzoR,187
1424,b1363,trkG,1459
1425,b1365,ynaK,265
1426,b1366,ydaY,361
1427,b1368,ynaA,1030
1428,b4570,lomR,1597
1429,b1370,insH-5,982
1430,b1372,stfR,3364
1431,b1373,tfaR,577
1432,b1374,pinR,592
1433,b1375,ynaE,235
1435,b4638,ttcC,52
1436,b1376,uspF,436
1437,b1377,ompN,1135
1438,b4427,micC,110
1439,b1378,ydbK,3526
1440,b4529,ydbJ,268
1441,b1379,hslJ,424
1442,b1380,ldhA,991
1443,b1381,ydbH,2641
1444,b1382,ynbE,187
1445,b1383,ydbL,328
1446,b1384,feaR,907
1447,b1385,feaB,1501
1448,b1386,tynA,2275
1449,b1387,paaZ,2047
1450,b1388,paaA,931
1451,b1389,paaB,289
1452,b1390,paaC,748
1453,b1391,paaD,499
1454,b1392,paaE,1072
1455,b1393,paaF,769
1456,b1394,paaG,790
1457,b1395,paaH,1429
1458,b1396,paaI,424
1459,b1397,paaJ,1207
1460,b1398,paaK,1315
1461,b1399,paaX,952
1462,b1400,paaY,592
1463,b4674,ynbG,67
1464,b4492,ydbA,8623
1465,b1402,insD-2,907
1466,b1403,insC-2,367
1467,b1404,insI-2,1153
1468,b1406,pdxI,862
1469,b1407,ydbD,2308
1470,b1408,ynbA,607
1471,b1409,ynbB,898
1472,b1410,ynbC,1759
1473,b1411,ynbD,1294
1495,b4578,yncK,433
1496,b1432,insQ,1150
1497,b1433,ydcO,1177
1498,b1434,sutR,538
1499,b1435,rlhA,1963
1500,b1436,yncJ,232
1501,b4532,hicA,178
1502,b1438,hicB,418
1503,b1439,ydcR,1408
1504,b1440,ydcS,1147
1505,b1441,ydcT,1015
1506,b1442,ydcU,943
1507,b1443,ydcV,796
1508,b1444,patD,1426
1521,b1456,rhsE,2050
1522,b1457,ydcD,484
1524,b1459,yncI,1055
1525,b1460,ydcC,1138
1526,b1461,pptA,235
1527,b1462,yddH,571
1613,b1544,ydfK,235
1614,b1545,pinQ,592
1615,b1546,tfaQ,577
1616,b1547,ydfN,964
1617,b1548,nohA,571
1618,b4533,ynfO,235
1619,b1549,ydfO,412
1620,b1550,gnsB,175
1621,b1551,ynfN,157
1624,b1552,cspI,214
1625,b1553,rzpQ,499
1626,b4689,rzoQ,256
1627,b1554,rrrQ,535
1628,b1555,ydfR,313
1629,b1556,essQ,217
1630,b1557,cspB,217
1631,b1558,cspF,214
1633,b1559,ydfT,754
1634,b1560,ydfU,1051
1635,b1561,rem,253
1636,b1562,hokD,157
1637,b1563,relE,289
1638,b1564,relB,241
1639,b1565,ydfV,307
1640,b1566,flxA,334
1641,b1567,ydfW,151
1642,b1568,ydfX,292
1643,b1569,dicC,232
1644,b1570,dicA,409
1645,b1571,ydfA,157
1646,b1572,ydfB,130
1647,b1573,ydfC,220
1648,b1574,dicF,54
1649,b1575,dicB,190
1650,b1576,ydfD,193
1651,b1577,ydfE,922
1652,b1578,insD-7,658
1653,b1579,intQ,1198
1730,b1653,lhr,4618
1866,b1786,dgcJ,1492
1966,b1878,flhE,394
1967,b1879,flhA,2080
1968,b1880,flhB,1150
1969,b1881,cheZ,646
1970,b1882,cheY,391
1971,b1883,cheB,1051
1972,b1884,cheR,862
1973,b1885,tap,1603
1974,b1886,tar,1663
1975,b1887,cheW,505
1976,b1888,cheA,1966
1977,b1889,motB,928
1978,b1890,motA,889
1979,b1891,flhC,580
1980,b1892,flhD,352
1981,b1893,insB-5,505
1982,b1894,insA-5,277
2007,b1917,tcyN,754
2008,b1918,tcyL,670
2009,b1919,dcyD,988
2010,b1920,tcyJ,802
2011,b1921,fliZ,553
2012,b1922,fliA,721
2013,b1923,fliC,1498
2014,b1924,fliD,1408
2015,b1925,fliS,412
2016,b1926,fliT,367
2017,b1927,amyA,1489
2018,b1928,yedD,415
2019,b1929,yedE,1207
2020,b1930,yedF,235
2021,b1931,yedK,670
2022,b1932,yedL,481
2023,b4495,yedN,1130
2024,b1936,intG,280
2025,b1937,fliE,316
2026,b1938,fliF,1660
2027,b1939,fliG,997
2028,b1940,fliH,688
2029,b1941,fliI,1375
2030,b1942,fliJ,445
2031,b1943,fliK,1129
2032,b1944,fliL,466
2033,b1945,fliM,1006
2034,b1946,fliN,415
2035,b1947,fliO,367
2036,b1948,fliP,739
2037,b1949,fliQ,271
2038,b1950,fliR,787
2065,b1978,yeeJ,7078
2066,b4497,yeeL,1054
2081,b1994,insH-6,1018
2082,b4640,yoeG,534
2083,b4641,yoeH,160
2084,b4582,yoeA,1841
2085,b1996,insD-3,907
2086,b1997,insC-3,367
2087,b1999,yeeP,427
2088,b4435,isrC,196
2089,b2000,flu,3121
2090,b2001,yeeR,1534
2091,b2002,yeeS,448
2092,b2003,yeeT,223
2093,b2004,cbeA,370
2094,b2005,cbtA,376
2095,b2006,yeeW,196
2096,b4642,yoeD,130
2097,b4538,yoeF,358
2098,b2007,yeeX,331
2099,b2008,yeeA,1060
2123,b4571,wbbL,1995
2124,b2030,insH-7,1018
2125,b2032,wbbK,1120
2126,b2033,wbbJ,592
2127,b2034,wbbI,994
2128,b2035,wbbH,1168
2129,b2036,glf,1105
2130,b2037,rfbX,1249
2131,b2038,rfbC,559
2132,b2039,rfbA,883
2133,b2040,rfbD,901
2134,b2041,rfbB,1087
2135,b2042,galF,895
2136,b2043,wcaM,1396
2137,b2044,wcaL,1222
2138,b2045,wcaK,1282
2139,b2046,wzxC,1480
2140,b2047,wcaJ,1396
2141,b2048,cpsG,1372
2142,b2049,cpsB,1438
2143,b2050,wcaI,1225
2144,b2051,gmm,481
2145,b2052,fcl,967
2146,b2053,gmd,1123
2147,b2054,wcaF,550
2148,b2055,wcaE,748
2149,b2056,wcaD,1219
2150,b2057,wcaC,1219
2151,b2058,wcaB,490
2152,b2059,wcaA,841
2153,b2060,wzc,2164
2154,b2061,wzb,445
2155,b2062,wza,1141
2177,b2080,yegP,334
2178,b2081,yegQ,1363
2179,b4438,cyaR,88
2180,b2082,ogrK,220
2181,b2083,yegZ,220
2182,b2085,yegR,319
2183,b2086,yegS,901
2184,b4498,gatR,2036
2185,b2088,insE-5,301
2186,b2089,insF-5,868
2187,b2091,gatD,1042
2188,b2092,gatC,1359
2189,b2093,gatB,286
2190,b2094,gatA,454
2191,b2095,gatZ,1264
2192,b2096,gatY,856
2212,b4499,yehH,2861
2213,b2118,yehI,3634
2214,b4541,yehK,319
2215,b2119,yehL,1090
2216,b2120,yehM,2281
2217,b2121,yehP,1138
2218,b2122,yehQ,1846
2219,b2123,yehR,463
2220,b2124,yehS,472
2221,b2125,btsR,721
2222,b2126,btsS,1687
2223,b2127,mlrA,733
2224,b4542,yohO,109
2225,b2128,yehW,733
2226,b2129,yehX,928
2227,b2130,yehY,1159
2228,b2131,osmF,919
2229,b2132,bglX,2299
2288,b2190,yejO,3792
2289,b2192,insH-8,1018
2307,b2209,eco,490
2318,b2219,atoS,1828
2319,b2220,atoC,1387
2320,b2221,atoD,664
2321,b2222,atoA,652
2322,b2223,atoE,1324
2323,b2224,atoB,1186
2324,b2225,yfaP,778
2325,b2226,yfaQ,1651
2326,b4500,yfaS,4606
2327,b2229,yfaT,625
2328,b2230,yfaA,1690
2449,b2349,intS,1159
2450,b2350,yfdG,364
2451,b2351,yfdH,922
2452,b2352,yfdI,1333
2453,b2353,tfaS,304
2454,b2354,yfdK,442
2455,b2355,yfdL,520
2456,b2356,yfdM,277
2457,b2357,yfdN,496
2458,b2358,yfdO,370
2459,b2359,yfdP,364
2460,b2360,yfdQ,826
2461,b2361,yfdR,538
2462,b2362,yfdS,364
2463,b2363,yfdT,307
2464,b4545,ypdJ,142
2465,b4501,torI,202
2466,b4643,pawZ,16
2467,b2364,dsdC,937
2468,b2365,dsdX,1339
2469,b2366,dsdA,1330
2493,b2389,yfeO,1258
2494,b2390,ypeC,328
2495,b2392,mntH,1240
2496,b2393,nupC,1204
2497,b2394,insL-3,1114
2498,b2395,pdeA,2191
2508,b2405,xapR,886
2509,b2406,xapB,1258
2510,b2407,xapA,835
2546,b2442,intZ,1210
2547,b2443,yffL,643
2548,b2444,yffM,247
2549,b2445,yffN,370
2550,b2446,yffO,418
2551,b2447,yffP,595
2552,b2448,yffQ,379
2553,b2449,yffR,394
2554,b2450,yffS,811
2587,b2481,hyfA,619
2588,b2482,hyfB,2020
2589,b2483,hyfC,949
2590,b2484,hyfD,1441
2591,b2485,hyfE,652
2592,b2486,hyfF,1582
2593,b2487,hyfG,1669
2594,b2488,hyfH,547
2595,b2489,hyfI,760
2596,b2490,hyfJ,415
2597,b2491,hyfR,2014
2598,b2492,focB,850
2733,b2622,intA,1243
2734,b2623,yfjH,958
2735,b2624,alpA,214
2736,b2625,yfjI,1411
2737,b2626,yfjJ,628
2738,b2627,abpB,2191
2739,b2628,abpA,1618
2740,b2629,yfjM,265
2741,b2630,rnlA,1075
2742,b2631,rnlB,373
2743,b2632,yfjP,865
2744,b2633,yfjQ,823
2745,b2634,yfjR,703
2746,b2635,ypjK,238
2747,b2636,yfjS,445
2748,b2637,yfjT,469
2749,b2638,yfjU,316
2750,b2641,yfjV,1017
2751,b2642,yfjW,1705
2752,b4644,ypjI,273
2753,b2643,yfjX,460
2754,b2644,yfjY,484
2755,b4548,ypjJ,202
2756,b2645,yfjZ,319
2757,b2646,ypjF,331
2758,b4645,psaA,15
2759,b2647,ypjA,4582
2760,b2648,pinH,241
2762,b2650,ypjC,484
2763,b2652,ileY,77
2764,b4462,ygaQ,2254
2765,b2659,csiD,979
2766,b2660,lhgO,1270
2841,b2735,ygbI,769
2842,b2736,ygbJ,910
2843,b2737,ygbK,1168
2844,b2738,ygbL,640
2845,b2739,ygbM,778
2846,b2740,ygbN,1366
2969,b2856,ygeL,157
2970,b2858,ygeN,708
2971,b2859,ygeO,400
2972,b2860,insD-4,907
2973,b2861,insC-4,367
2975,b2863,ygeQ,796
3060,b2945,endA,709
3083,b2968,yghD,538
3084,b2969,yghE,862
3085,b2970,yghF,868
3086,b2971,yghG,412
3087,b2972,pppA,811
3088,b4466,yghJ,4564
3089,b2975,glcA,1684
3090,b2976,glcB,2173
3091,b2977,glcG,406
3092,b4467,glcF,1225
3093,b4468,glcE,1054
3094,b2979,glcD,1501
3095,b2980,glcC,766
3096,b2981,yghO,1174
3097,b2982,insH-9,1018
3098,b2983,yghQ,1069
3099,b2984,yghR,760
3100,b2985,yghS,715
3101,b2986,yghT,694
3102,b2987,pitB,1501
3155,b3042,ubiK,292
3156,b3043,ygiL,553
3157,b3046,yqiG,3842
3158,b3044,insC-5,367
3159,b3045,insD-5,907
3160,b3047,yqiH,751
3161,b3048,yqiI,1066
3332,b3215,yhcA,676
3333,b3216,yhcD,2383
3334,b4569,yhcE,1746
3335,b3218,insH-10,1018
3336,b3219,yhcF,718
3440,b3323,gspA,1471
3441,b3324,gspC,817
3442,b3325,gspD,1954
3443,b3326,gspE,1483
3444,b3327,gspF,1198
3445,b3328,gspG,439
3446,b3329,gspH,511
3447,b3330,gspI,379
3448,b3331,gspJ,589
3449,b3332,gspK,985
3450,b3333,gspL,1165
3451,b3334,gspM,463
3452,b3335,gspO,679
3453,b3336,bfr,478
3454,b3337,bfd,196
3455,b3338,chiA,2695
3556,b4451,ryhB,91
3557,b3441,yhhY,490
3558,b3442,yhhZ,1180
3559,b3443,yrhA,1273
3560,b3444,insA-6,277
3561,b3445,insB-6,505
3563,b3446,yrhB,286
3599,b3482,rhsB,4237
3600,b3483,yhhH,385
3601,b4552,yrhC,247
3602,b3484,yhhI,1138
3624,b3504,yhiS,2424
3625,b3505,insH-11,1018
3684,b3557,insJ,523
3685,b3558,insK,853
3702,b3573,ysaA,475
3703,b3574,yiaJ,850
3704,b3575,yiaK,1000
3705,b3576,yiaL,469
3706,b3577,yiaM,475
3707,b3578,yiaN,1279
3708,b3579,yiaO,988
3709,b3580,lyxK,1498
3710,b3581,sgbH,664
3711,b3582,sgbU,862
3712,b3583,sgbE,697
3713,b4648,ysaC,103
3714,b4649,ysaD,193
3715,b3584,yiaT,742
3716,b3585,yiaU,976
3717,b3586,yiaV,1138
3718,b3587,yiaW,325
3724,b3593,rhsA,4135
3725,b3594,yibA,844
3726,b3595,yibJ,703
3727,b3596,yibG,463
3728,b4650,yibS,253
3729,b4651,yibW,366
3730,b4615,yibV,337
3731,b4652,yibU,200
3779,b3643,rph,688
3850,b3707,tnaC,76
3851,b3708,tnaA,1417
3852,b3709,tnaB,1249
3853,b3710,mdtL,1177
3854,b3711,yidZ,961
3855,b3712,yieE,751
3856,b3713,yieF,568
3857,b3714,adeP,1339
3858,b3715,yieH,667
3859,b3716,cbrB,469
3860,b3717,cbrC,589
3861,b3718,yieK,724
3862,b3719,yieL,1171
3863,b3720,bglH,1618
3864,b3721,bglB,1414
3865,b3722,bglF,1879
3866,b3723,bglG,838
3925,b3784,rfe,1105
3926,b3785,wzzE,1048
3927,b3786,wecB,1132
3928,b3787,wecC,1264
3929,b3788,rffG,1069
3930,b3789,rffH,883
3931,b3790,rffC,676
3932,b3791,wecE,1132
3933,b3792,wzxE,1252
3934,b4481,rffT,1081
3935,b3793,wzyE,1354
3936,b3794,rffM,742
3937,b3795,yifK,1387
4040,b3896,yiiG,1057
4041,b3897,frvR,1750
4042,b3898,frvX,1072
4043,b3899,frvB,1453
4044,b3900,frvA,448
4228,b4080,mdtP,1468
4229,b4081,mdtO,2053
4230,b4082,mdtN,1033
4231,b4622,ytcA,277
4232,b4083,yjcS,1987
4233,b4084,alsK,931
4234,b4085,alsE,697
4235,b4086,alsC,982
4236,b4087,alsA,1534
4237,b4088,alsB,937
4238,b4089,alsR,892
4239,b4090,rpiB,451
4240,b4487,yjdP,331
4241,b4092,phnP,760
4242,b4093,phnO,436
4243,b4094,phnN,559
4244,b4095,phnM,1138
4245,b4096,phnL,682
4246,b4097,phnK,760
4247,b4098,phnJ,847
4248,b4099,phnI,1066
4249,b4100,phnH,586
4250,b4101,phnG,454
4251,b4102,phnF,727
4253,b4105,phnD,1018
4254,b4106,phnC,790
4416,b4264,idnR,1000
4417,b4265,idnT,1321
4418,b4266,idnO,766
4419,b4267,idnD,1033
4420,b4268,idnK,565
4421,b4269,ahr,1021
4423,b4271,intB,1192
4424,b4272,insC-6,367
4425,b4273,insD-6,907
4427,b4277,yjgZ,331
4428,b4278,insG,1330
4429,b4279,yjhB,1219
4430,b4280,yjhC,1120
4431,b4655,ythA,127
4432,b4281,yjhD,232
4433,b4282,yjhE,250
4434,b4623,insO,2598
4435,b4284,insI-3,1153
4436,b4561,insM,260
4437,b4286,yjhV,331
4438,b4287,fecE,769
4439,b4288,fecD,958
4440,b4289,fecC,1000
4441,b4290,fecB,904
4442,b4291,fecA,2326
4443,b4292,fecR,955
4444,b4293,fecI,523
4445,b4294,insA-7,277
4446,b4576,insB-7,505
4447,b4295,yjhU,988
4448,b4296,yjhF,1351
4449,b4297,yjhG,1969
4450,b4298,yjhH,907
4451,b4299,yjhI,790
4452,b4300,sgcR,784
4453,b4301,sgcE,634
4454,b4302,sgcA,433
4455,b4624,ryjB,91
4456,b4303,sgcQ,808
4457,b4304,sgcC,1315
4458,b4565,sgcB,280
4459,b4305,sgcX,1123
4460,b4656,yjhY,262
4461,b4306,yjhP,748
4462,b4307,yjhQ,547
4463,b4566,topAI,259
4464,b4657,yjhZ,247
4465,b4308,yjhR,1018
4466,b4309,nanS,982
4467,b4310,nanM,1108
4468,b4311,nanC,718
4469,b4312,fimB,604
4470,b4313,fimE,598
4471,b4314,fimA,550
4472,b4315,fimI,541
4473,b4316,fimC,727
4474,b4317,fimD,2638
4475,b4318,fimF,532
4476,b4319,fimG,505
4477,b4320,fimH,904
4482,b4325,yjiC,832
4486,b4326,iraD,394
4487,b4327,hypT,913
4488,b4328,iadA,1174
4489,b4329,yjiG,463
4490,b4330,yjiH,685
4491,b4331,kptA,556
4492,b4332,yjiJ,1180
4493,b4333,yjiK,862
4495,b4334,yjiL,769
4496,b4335,yjiM,1153
4497,b4336,yjiN,1282
4498,b4337,mdtM,1234
4500,b4340,yjiR,1414
4501,b4341,yjiS,166
4502,b4342,yjiT,1519
4503,b4486,yjiV,2722
4504,b4345,mcrC,1048
4505,b4346,mcrB,1381
4506,b4347,symE,343
4507,b4625,symR,78
4508,b4348,hsdS,1396
4509,b4349,hsdM,1591
4510,b4350,hsdR,3514
4511,b4351,mrr,916
4512,b4352,yjiA,958
4513,b4353,yjiX,205
4514,b4354,btsT,2152
4515,b4355,tsr,1657
4516,b4356,lgoT,1363
4517,b4357,lgoR,916
4518,b4358,lgoD,1024
