,Bnumber,Gen,Length
23616,b0761,modE,790
23617,b0762,acrZ,151
23618,b0763,modA,775
23619,b0764,modB,691
23620,b0765,modC,1060
23621,b0766,ybhA,820
23622,b0767,pgl,997
23623,b0768,ybhD,955
23624,b0769,ybhH,1054
23625,b0770,ybhI,1435
23626,b0771,ybhJ,2263
23627,b0772,ybhC,1285
23628,b0773,ybhB,478
23629,b0774,bioA,1291
23630,b0775,bioB,1042
23631,b0776,bioF,1156
23632,b0777,bioC,757
23633,b0778,bioD,679
23634,b0779,uvrB,2023
23635,b0780,ybhK,910
28230,b0809,glnQ,724
28231,b0810,glnP,661
28232,b0811,glnH,748
28233,b0812,dps,505
28234,b0813,rhtA,889
28235,b4736,yliM,67
28236,b0814,ompX,517
28237,b0815,opgE,1585
28238,b4416,rybA,341
28239,b4705,mntS,130
28240,b0817,mntR,469
28241,b0818,ybiR,1120
28242,b0819,ldtB,922
28243,b0820,ybiT,1594
28244,b0821,ybiU,1267
28245,b0822,ybiV,817
28246,b0823,ybiW,2434
28247,b0824,ybiY,901
28248,b0825,fsaA,664
28249,b0826,moeB,751
32205,b0238,gpt,460
32206,b0239,frsA,1246
32207,b0240,crl,1179
32208,b4710,insB9,505
32209,b4709,insA9,277
32210,b0241,phoE,1057
32211,b0242,proB,1105
32212,b0243,proA,1255
32213,b0244,thrW,77
32214,b4626,ykfN,64
32215,b0245,ykfI,343
32216,b0246,yafW,319
32217,b4504,ykfH,223
32218,b0247,ykfG,478
32219,b0248,yafX,460
32220,b0249,ykfF,241
32221,b0250,ykfB,469
32222,b0251,yafY,445
32223,b4627,ykfL,223
32224,b4628,ykfK,193
32225,b0252,yafZ,823
32226,b0253,ykfA,865
32227,b0254,perR,895
32228,b4587,insN,1914
32229,b0256,insI-1,1153
32230,b4690,eyeA,76
32231,b0258,ykfC,1147
32232,b0259,insH-1,1018
32233,b0260,mmuP,1405
32234,b0261,mmuM,934
32235,b0262,afuC,1048
32236,b0263,afuB,350
32237,b0264,insB-2,505
32238,b0265,insA-2,277
32239,b4708,insI2,175
32240,b4505,insX,250
32241,b0266,yagB,352
32242,b0267,yagA,1156
32243,b0268,yagE,910
32244,b0269,yagF,1969
32245,b0270,yagG,1384
32246,b0271,yagH,1612
38644,b2023,hisH,592
38645,b2024,hisA,739
38646,b2025,hisF,778
38647,b2026,hisI,613
38648,b2027,wzzB,982
38649,b2028,ugd,1168
38650,b2029,gnd,1408
38651,b4571,wbbL,1995
38652,b2030,insH-7,1018
38653,b2032,wbbK,1120
38654,b2033,wbbJ,592
38655,b2034,wbbI,994
38656,b2035,wbbH,1168
38657,b2036,glf,1105
38658,b2037,rfbX,1249
38659,b2038,rfbC,559
38660,b2039,rfbA,883
38661,b2040,rfbD,901
38662,b2041,rfbB,1087
38663,b2042,galF,895
38664,b2043,wcaM,1396
38665,b2044,wcaL,1222
38666,b2045,wcaK,1282
38667,b2046,wzxC,1480
38668,b2047,wcaJ,1396
38669,b2048,cpsG,1372
38670,b2049,cpsB,1438
38671,b2050,wcaI,1225
38672,b2051,gmm,481
38673,b2052,fcl,967
38674,b2053,gmd,1123
38675,b2054,wcaF,550
38676,b2055,wcaE,748
38677,b2056,wcaD,1219
38678,b2057,wcaC,1219
38679,b2058,wcaB,490
38680,b2059,wcaA,841
38681,b2060,wzc,2164
38682,b2061,wzb,445
38683,b2062,wza,1141
38684,b2063,yegH,1585
38685,b2064,asmA,1855
43202,b2016,yeeZ,826
43203,b4539,yoeB,256
43204,b2017,yefM,253
43205,b2018,hisL,52
43206,b2019,hisG,901
43207,b2020,hisD,1306
43208,b2021,hisC,1072
43209,b2022,hisB,1069
46378,b0695,kdpD,2686
46379,b0696,kdpC,574
46380,b0697,kdpB,2050
46381,b0698,kdpA,1675
46382,b4513,kdpF,91
46383,b0699,ybfA,208
46384,b0700,rhsC,4195
46385,b0702,ybfB,328
46386,b0703,ybfO,1435
46387,b0704,ybfC,571
46388,b4514,ybfQ,256
46389,b0705,ybfL,1063
46390,b0706,ybfD,763
46391,b0707,ybgA,511
46392,b0708,phr,1420
46393,b0709,dtpD,1483
46394,b0710,ybgI,745
46395,b0711,pxpB,658
46396,b0712,pxpC,934
46397,b0713,pxpA,736
46398,b0714,nei,793
46399,b0715,abrB,1048
46400,b0716,ybgO,1063
46401,b0717,ybgP,730
46402,b0718,ybgQ,2449
46403,b0719,ybgD,568
50453,b0222,lpcA,580
50454,b0223,yafJ,769
50455,b0224,yafK,742
50456,b0225,yafQ,280
50457,b0226,dinJ,262
50458,b0227,yafL,751
50459,b0228,rayT,499
50460,b0229,lfhA,1714
50461,b0230,lafU,757
50462,b0231,dinB,1057
50463,b0232,yafN,295
50464,b0233,yafO,400
50465,b0234,yafP,454
50466,b0235,ykfJ,268
50467,b0236,prfH,502
50468,b0237,pepD,1459
55567,b0750,nadA,1045
55568,b0751,pnuC,721
55569,b0752,zitB,943
55570,b0753,ybgS,382
55571,b0754,aroG,1054
55572,b0755,gpmA,754
59944,b0564,appY,751
59945,b0565,ompT,955
59946,b0566,envY,763
59947,b0567,ybcH,892
59948,b0568,nfrA,2974
59949,b0569,nfrB,2239
59950,b0570,cusS,1444
59951,b0571,cusR,685
59952,b0572,cusC,1375
59953,b0573,cusF,334
59954,b0574,cusB,1225
59955,b0575,cusA,3145
59956,b0576,pheP,1378
59957,b0577,ybdG,1249
59958,b0578,nfsB,655
59959,b0579,ybdF,370
59960,b0580,ybdJ,250
59961,b0581,ybdK,1120
59962,b4700,sokE,60
59963,b4415,hokE,154
59964,b0582,insL-2,1114
59965,b0583,entD,622
59966,b0584,fepA,2242
59967,b0585,fes,1204
59968,b4511,ybdZ,220
59969,b0586,entF,3883
59970,b0587,fepE,1135
64635,b0689,ybfP,496
64636,b0691,ybfG,652
64637,b4636,ybfI,151
64638,b0692,potE,1321
64639,b0693,speF,2200
64640,b4590,ybfK,259
64641,b0694,kdpE,679
64668,b0720,gltA,1285
64669,b4735,ybgU,109
64670,b0721,sdhC,391
64671,b0722,sdhD,349
64672,b0723,sdhA,1768
64673,b0724,sdhB,718
64674,b0726,sucA,2803
64675,b0727,sucB,1219
64676,b0728,sucC,1168
64677,b0729,sucD,871
64678,b0730,mngR,724
64679,b0731,mngA,1978
64680,b0732,mngB,2635
64681,b0733,cydA,1570
64682,b0734,cydB,1141
64683,b4515,cydX,115
64684,b0735,ybgE,295
64685,b0736,ybgC,406
64686,b0737,tolQ,694
64687,b0738,tolR,430
64688,b0739,tolA,1267
64689,b0740,tolB,1294
64690,b0741,pal,523
64691,b0742,cpoB,793
64692,b0743,lysT,77
64693,b0744,valT,77
64694,b0745,lysW,77
64695,b0746,valZ,77
64696,b0747,lysY,77
64697,b0748,lysZ,77
64698,b0749,lysQ,77
64730,b0781,moaA,991
64731,b0782,moaB,514
64732,b0783,moaC,487
64733,b0784,moaD,247
64734,b0785,moaE,454
64735,b0786,ybhL,706
64736,b0787,ybhM,715
64737,b0788,ybhN,958
64738,b0789,clsB,1243
64739,b0790,ybhP,763
64740,b0791,ybhQ,412
64741,b0792,ybhR,1108
64742,b0793,ybhS,1135
64743,b0794,ybhF,1738
64744,b0795,ybhG,1000
64745,b0796,cecR,673
64746,b0797,rhlE,1366
64747,b0798,ybiA,484
64748,b0799,dinG,2152
64749,b0800,ybiB,964
64750,b0801,hcxB,1087
64751,b0802,ybiJ,262
64752,b0803,ybiI,268
64753,b0804,ybiX,679
64754,b0805,fiu,2284
64755,b0806,mcbA,262
64756,b0807,rlmF,928
64757,b0808,ybiO,2227
64778,b0827,moeA,1237
64779,b0828,iaaA,967
64780,b0829,gsiA,1873
64781,b0830,gsiB,1540
64782,b0831,gsiC,922
64783,b0832,gsiD,913
64784,b0833,pdeI,2350
64785,b0834,dgcI,1330
64786,b0835,rimO,1327
64787,b0836,bssR,385
64788,b0837,yliI,1117
64789,b0838,gstB,628
64790,b0839,dacC,1204
64791,b0840,deoR,760
64792,b0841,ybjG,598
64793,b0842,mdfA,1234
64794,b0843,ybjH,286
64795,b0844,ybjI,817
64796,b0845,ybjJ,1210
64797,b0846,rcdA,538
64798,b4417,rybB,82
64799,b0847,ybjL,1687
69864,b1321,ycjX,1399
69865,b1322,ycjF,1063
69866,b1323,tyrR,1543
69867,b1324,tpx,508
69868,b1325,ycjG,967
69869,b1326,mpaA,730
69870,b4525,ymjC,184
69871,b4673,ymjD,67
69872,b1327,ycjY,922
69873,b1328,pgrR,901
69874,b1329,mppA,1615
69875,b1330,ynaI,1033
69876,b1331,insH-4,1018
69877,b1332,ynaJ,259
69878,b1333,uspE,952
69879,b1334,fnr,754
69880,b1335,ogt,517
69881,b1336,abgT,1528
69882,b1337,abgB,1447
69883,b1338,abgA,1312
69884,b1339,abgR,910
69885,b4426,mcaS,94
69886,b1340,smrA,565
69887,b1341,dgcM,1234
69888,b1342,zntB,985
69889,b4699,fnrS,120
69890,b4743,ynaL,175
69891,b1343,dbpA,1375
69892,b1344,ttcA,937
69893,b1345,intR,1237
69894,b1346,xisR,217
69895,b1347,rcbA,211
69896,b4714,ralA,180
69897,b1348,ralR,196
69898,b1349,recT,811
69899,b1350,recE,2602
69900,b1351,racC,277
69901,b4526,ydaE,172
69902,b1352,kilR,223
69903,b1353,sieB,490
69904,b4527,ydaF,157
69905,b1355,ydaG,136
69906,b1356,racR,478
69907,b1357,ydaS,298
69908,b1358,ydaT,424
69909,b1359,ydaU,859
69910,b1360,ydaV,748
69911,b1361,ydaW,562
69912,b1362,rzpR,301
69913,b4528,rzoR,187
69914,b1363,trkG,1459
69915,b1365,ynaK,265
69916,b1366,ydaY,361
69917,b1368,ynaA,1030
69918,b4570,lomR,1597
69919,b1370,insH-5,982
69920,b1372,stfR,3364
69921,b1373,tfaR,577
69922,b1374,pinR,592
69923,b1375,ynaE,235
69924,b4744,ynaM,115
69925,b4638,ttcC,52
69926,b1376,uspF,436
69927,b1377,ompN,1135
69928,b4427,micC,110
69929,b1378,ydbK,3526
69930,b4529,ydbJ,268
69931,b1379,hslJ,424
69932,b1380,ldhA,991
69933,b1381,ydbH,2641
69934,b1382,ynbE,187
69935,b1383,ydbL,328
69936,b1384,feaR,907
69937,b1385,feaB,1501
69938,b1386,tynA,2275
69939,b1387,paaZ,2047
69940,b1388,paaA,931
69941,b1389,paaB,289
69942,b1390,paaC,748
69943,b1391,paaD,499
69944,b1392,paaE,1072
69945,b1393,paaF,769
69946,b1394,paaG,790
69947,b1395,paaH,1429
69948,b1396,paaI,424
69949,b1397,paaJ,1207
69950,b1398,paaK,1315
69951,b1399,paaX,952
69952,b1400,paaY,592
69953,b4674,ynbG,67
69954,b4492,ydbA,8623
69955,b1402,insD-2,907
69956,b1403,insC-2,367
69957,b1404,insI-2,1153
69958,b1406,pdxI,862
69959,b1407,ydbD,2308
69960,b1408,ynbA,607
69961,b1409,ynbB,898
69962,b1410,ynbC,1759
69963,b1411,ynbD,1294
69964,b1412,azoR,607
69965,b1413,hrpA,3904
69966,b1414,ydcF,802
69967,b1415,aldA,1441
69968,b4493,gapC,1002
69969,b1418,cybB,532
69970,b4597,rydC,65
69971,b1419,ydcA,175
69972,b4428,hokB,151
69973,b1420,mokB,169
69974,b4429,sokB,57
69975,b1421,trg,1642
69976,b1422,ydcI,925
69977,b1423,ydcJ,1345
69978,b1424,opgD,1657
69979,b1426,ydcH,226
69980,b1427,rimL,541
69981,b1428,ydcK,982
69982,b1429,tehA,994
69983,b1430,tehB,595
69984,b1431,ydcL,670
69985,b4578,yncK,433
69986,b1432,insQ,1150
69987,b1433,ydcO,1177
69988,b1434,sutR,538
69989,b1435,rlhA,1963
69990,b1436,yncJ,232
69991,b4532,hicA,178
69992,b1438,hicB,418
69993,b1439,ydcR,1408
69994,b1440,ydcS,1147
69995,b1441,ydcT,1015
69996,b1442,ydcU,943
69997,b1443,ydcV,796
69998,b1444,patD,1426
69999,b4598,yncL,97
70000,b1445,ortT,175
70001,b1446,ydcY,235
70002,b1447,ydcZ,451
70003,b1448,mnaT,520
70004,b1449,curA,1039
70005,b1450,mcbR,667
70006,b1451,yncD,2104
70007,b1452,yncE,1063
70008,b1453,ansP,1501
70009,b1454,yncG,619
70010,b1455,yncH,214
70011,b1456,rhsE,2050
70012,b1457,ydcD,484
70013,b4745,yncO,187
70014,b1459,yncI,1055
70015,b1460,ydcC,1138
70016,b1461,pptA,235
70017,b1462,yddH,571
70018,b1463,nhoA,847
70019,b1464,yddE,895
70020,b1465,narV,682
70021,b1466,narW,697
70022,b1467,narY,1546
70023,b1468,narZ,3742
70024,b1469,narU,1390
70025,b1470,yddJ,337
70026,b1471,yddK,958
70027,b1472,yddL,292
70028,b1473,yddG,883
70029,b1474,fdnG,3049
70030,b1475,fdnH,886
70031,b1476,fdnI,655
70032,b1477,yddM,286
70033,b1478,adhP,1012
70034,b1479,maeA,1699
70035,b1480,sra,139
70036,b1481,bdm,217
70037,b1482,osmC,433
70038,b1483,ddpF,928
70039,b1484,ddpD,988
70040,b1485,ddpC,898
70041,b1486,ddpB,1024
70042,b1487,ddpA,1552
70043,b1488,ddpX,583
70044,b1489,dosP,2401
70045,b1490,dosC,1384
70046,b4746,yddY,43
70047,b1491,yddW,1321
70048,b1492,gadC,1537
70049,b1493,gadB,1402
70050,b1494,pqqL,2797
70051,b1495,yddB,2374
70052,b1496,yddA,1687
70053,b4747,yneP,124
70054,b1497,ydeM,1159
70055,b1498,ydeN,1684
70056,b1499,ydeO,763
70057,b1500,safA,199
70058,b1501,ydeP,2281
70059,b1502,ydeQ,916
70060,b1503,ydeR,505
70061,b1504,ydeS,532
70062,b1505,ydeT,1150
70063,b1506,yneL,204
70064,b1507,hipA,1324
70065,b1508,hipB,268
70066,b4696,yneO,5423
70067,b1511,lsrK,1594
70068,b1512,lsrR,955
70069,b1513,lsrA,1537
70070,b1514,lsrC,1030
70071,b1515,lsrD,994
70072,b1516,lsrB,1024
70073,b1517,lsrF,877
70074,b1518,lsrG,292
70075,b1519,tam,760
70076,b1520,yneE,916
70077,b1521,uxaB,1453
70078,b1522,dgcF,949
70079,b1523,yneG,361
70080,b1524,glsB,928
70081,b1525,sad,1390
70082,b1526,yneJ,883
70083,b1527,yneK,1117
70084,b1528,ydeA,1192
70085,b1529,marC,667
70086,b1530,marR,436
70087,b1531,marA,385
70088,b1532,marB,220
70089,b1533,eamA,901
70090,b1534,ydeE,1189
70091,b4599,mgtS,97
70092,b4698,mgrR,99
70093,b1535,dgcZ,892
70094,b1536,ydeI,394
70095,b1537,ydeJ,520
70096,b1538,dcp,2047
70097,b1539,ydfG,748
70098,b1540,ydfH,688
70099,b1541,ydfZ,205
70100,b1542,ydfI,1462
70101,b1543,ydfJ,1285
70102,b4748,ynfT,115
70103,b1544,ydfK,235
70104,b1545,pinQ,592
70105,b1546,tfaQ,577
70106,b1547,ydfN,964
70107,b1548,nohA,571
70108,b4533,ynfO,235
70109,b1549,ydfO,412
70110,b1550,gnsB,175
70111,b1551,ynfN,157
70112,b4749,ynfR,67
70113,b4724,ynfQ,190
70114,b1552,cspI,214
70115,b1553,rzpQ,499
70116,b4689,rzoQ,256
70117,b1554,rrrQ,535
70118,b1555,ydfR,313
70119,b1556,essQ,217
70120,b1557,cspB,217
70121,b1558,cspF,214
70122,b4750,ynfS,91
70123,b1559,ydfT,754
70124,b1560,ydfU,1051
70125,b1561,rem,253
70126,b1562,hokD,157
70127,b1563,relE,289
70128,b1564,relB,241
70129,b1565,ydfV,307
70130,b1566,flxA,334
70131,b1567,ydfW,151
70132,b1568,ydfX,292
70133,b1569,dicC,232
70134,b1570,dicA,409
70135,b1571,ydfA,157
70136,b1572,ydfB,130
70137,b1573,ydfC,220
70138,b1574,dicF,54
70139,b1575,dicB,190
70140,b1576,ydfD,193
70141,b1577,ydfE,922
70142,b1578,insD-7,658
70143,b1579,intQ,1198
70144,b4534,ynfP,112
70145,b1580,rspB,1021
70146,b1581,rspA,1216
70147,b1582,ynfA,328
70148,b1583,ynfB,343
70149,b1584,speG,562
70150,b1585,ynfC,712
70151,b1586,ynfD,307
70152,b1587,ynfE,2428
70153,b1588,ynfF,2425
70154,b1589,ynfG,619
70155,b1590,ynfH,856
70156,b1591,dmsD,616
70157,b1592,clcB,1258
70158,b1593,ynfK,697
70159,b1594,mlc,1222
70160,b1595,ynfL,895
70161,b1596,ynfM,1255
70162,b1597,asr,310
70163,b4601,ydgU,85
70164,b1598,ydgD,823
70165,b1599,mdtI,331
70166,b1600,mdtJ,367
70167,b1601,tqsA,1036
70168,b1602,pntB,1390
70169,b1603,pntA,1534
70170,b1604,ydgH,946
70171,b1605,ydgI,1384
70172,b1606,folM,724
70173,b1607,ydgC,337
70174,b1608,rstA,721
70175,b1609,rstB,1303
70176,b1610,tus,931
70177,b1611,fumC,1405
70178,b1612,fumA,1648
70179,b1613,manA,1177
70180,b1614,ydgA,1510
70181,b1615,uidC,1267
70182,b1616,uidB,1375
70183,b1617,uidA,1813
70184,b1618,uidR,592
70185,b1619,hdhA,769
70186,b1620,malI,1030
70187,b1621,malX,1594
70188,b1622,malY,1174
70189,b1623,add,1003
70190,b1624,ydgJ,1042
70191,b4409,blr,127
70192,b1625,cnu,217
70193,b1626,ydgK,442
70194,b1627,rsxA,583
70195,b1628,rsxB,580
70196,b1629,rsxC,2224
70197,b1630,rsxD,1060
70198,b1631,rsxG,622
70199,b1632,rsxE,697
70200,b1633,nth,637
70201,b1634,dtpA,1504
75944,b2781,mazG,793
75945,b2782,mazF,337
75946,b2783,mazE,250
75947,b2784,relA,2236
75948,b2785,rlmD,1303
75949,b2786,barA,2758
75950,b2787,gudD,1342
75951,b2788,gudX,1342
75952,b2789,gudP,1354
75953,b2790,yqcA,451
75954,b2791,truC,784
75955,b2792,yqcC,331
75956,b4408,csrB,370
75957,b2793,syd,547
75958,b2794,queF,850
75959,b2795,ppnN,1366
75960,b2796,sdaC,1291
75961,b2797,sdaB,1369
75962,b2798,ygdG,757
75963,b2799,fucO,1150
75964,b2800,fucA,649
75965,b2801,fucP,1318
75966,b2802,fucI,1777
75967,b2803,fucK,1420
75968,b2804,fucU,424
75969,b2805,fucR,733
75970,b2806,rlmM,1102
75971,b2807,ygdD,397
75972,b2808,gcvA,919
75973,b4443,gcvB,206
75974,b2809,ygdI,229
75975,b2810,csdA,1207
75976,b2811,csdE,445
75977,b2812,tcdA,808
75978,b2813,mltA,1099
75979,b2814,metZ,78
75980,b2815,metW,78
75981,b2816,metV,78
79723,b2010,dacD,1168
79724,b2011,sbcB,1429
79725,b2012,yeeD,229
79726,b2013,yeeE,1060
79727,b2014,plaP,1360
79728,b4678,yoeI,64
79729,b2015,yeeY,931
79780,b2065,dcd,583
79781,b2066,udk,643
79782,b2067,dgcE,3319
79783,b2068,alkA,850
79784,b2069,yegD,1354
79785,b2070,yegI,1948
79786,b2071,yegJ,463
79787,b2072,pphC,763
79788,b2073,yegL,661
79789,b4436,sibA,145
79790,b4667,ibsA,61
79791,b4437,sibB,137
79792,b4668,ibsB,58
79793,b2074,mdtA,1249
79794,b2075,mdtB,3124
79795,b2076,mdtC,3079
79796,b2077,mdtD,1417
79797,b2078,baeS,1405
79798,b2079,baeR,724
79799,b2080,yegP,334
79800,b2081,yegQ,1363
79801,b4438,cyaR,88
79802,b2082,ogrK,220
79803,b2083,yegZ,220
79804,b2085,yegR,319
79805,b2086,yegS,901
79806,b4498,gatR,2036
79807,b2088,insE-5,301
79808,b2089,insF-5,868
79809,b2091,gatD,1042
79810,b2092,gatC,1359
79811,b2093,gatB,286
79812,b2094,gatA,454
79813,b2095,gatZ,1264
79814,b2096,gatY,856
79815,b2097,fbaB,1054
79816,b2098,yegT,1279
79817,b2099,yegU,1006
79818,b2100,yegV,967
79819,b2101,yegW,748
79820,b2102,yegX,820
79821,b2103,thiD,802
79822,b2104,thiM,790
79823,b2105,rcnR,274
79824,b2106,rcnA,826
79825,b2107,rcnB,340
79826,b2108,yehA,1036
79827,b2109,yehB,2482
79828,b2110,yehC,721
79829,b2111,yehD,544
79830,b2112,yehE,283
79831,b2113,mrp,1111
79832,b2114,metG,2035
79833,b2115,yehF,826
79834,b4499,yehH,2861
79835,b2118,yehI,3634
79836,b4541,yehK,319
79837,b2119,yehL,1090
79838,b2120,yehM,2281
79839,b2121,yehP,1138
79840,b2122,yehQ,1846
79841,b2123,yehR,463
79842,b2124,yehS,472
79843,b2125,btsR,721
79844,b2126,btsS,1687
79845,b2127,mlrA,733
79846,b4542,yohO,109
79847,b2128,yehW,733
79848,b2129,yehX,928
79849,b2130,yehY,1159
79850,b2131,osmF,919
79851,b2132,bglX,2299
79852,b2133,dld,1717
79853,b2134,pbpG,934
79854,b2135,yohC,589
79855,b2136,yohD,580
79856,b2137,yohF,763
79857,b2139,mdtQ,1437
79858,b4679,yohP,85
79859,b2140,dusC,949
79860,b2141,yohJ,400
79861,b2142,yohK,697
79862,b2143,cdd,886
79863,b2144,sanA,721
79864,b2145,yeiS,241
79865,b2146,preT,1240
79866,b2147,preA,1237
83484,b1250,kch,1255
83485,b1251,yciI,298
83486,b1252,tonB,721
83487,b1253,yciA,400
83488,b1254,yciB,541
83489,b1255,yciC,745
83490,b1256,ompW,640
83491,b1257,yciE,508
83492,b1258,yciF,502
83493,b1259,yciG,181
83494,b1260,trpA,808
83495,b1261,trpB,1195
83496,b1262,trpC,1363
83497,b1263,trpD,1597
83498,b1264,trpE,1564
83499,b1265,trpL,46
83500,b1266,yciV,883
83501,b1267,yciO,622
83502,b1268,yciQ,1897
83503,b1269,rluB,877
83504,b1270,btuR,592
83505,b1271,yciK,760
83506,b1272,sohB,1051
83507,b1273,yciN,253
83508,b1274,topA,2599
88582,b1748,astC,1222
88583,b1749,xthA,808
88584,b1750,ydjX,712
88585,b1751,ydjY,679
88586,b1752,ydjZ,709
88587,b1753,ynjA,550
88588,b1754,ynjB,1168
88589,b1755,ynjC,1537
88590,b1756,ynjD,655
88591,b1757,ynjE,1309
88592,b1758,ynjF,622
88593,b1759,nudG,409
88594,b1760,ynjH,274
88595,b1761,gdhA,1345
88596,b1762,ynjI,1042
88597,b1763,topB,1963
88598,b1764,selD,1045
88599,b1765,ydjA,553
88600,b1766,sppA,1858
